№,Юрл сайта,Код ответа,Статус,Адрес перенаправления,Canonical URL,Тип Контента,Размер,Meta Robots,Meta Robots (текст),Prev,Next,Refresh,Title,Длина Title,Description,Keywords,H1,,h2,Последнее изменение,Внутренние ссылки,Внешние ссылки,Время отклика (сек),Время загрузки (сек),Время парсинга (сек),,,,,,,,,
1,https://zagrangid.com/kurs-valyut/usd_thb,200,HTTP/2 200,,,text/html, charset=utf-8,115,43 Кб,,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,,,,Курс тайского бата к рублю и доллару на сегодня,47,Калькулятор курса тайского бата к доллару и рублю   Динамика курса тайского бата к рублю по месяцам  Конвертер валют,<ПУСТО>,Курс тайского бата к рублю и доллару на сегодня,Калькулятор курса тайского бата к доллару и рублюДинамика курса тайского бата к рублю по месяцамСтоит ли менять в аэропорту СуварнабхумиГде лучшие обменники в ПаттайеГде лучшие обменники на ПхукетеТребования к купюрам для обменаКак избежать мошенничества при обмене,1360,,64,9,2,500,2,500,0,5
2,https://zagrangid.com/kurs-valyut/usd_lvl,200,HTTP/2 200,,,text/html, charset=utf-8,108,46 Кб,,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,,,,Курс латвийского лата к рублю и доллару на сегодня,50,Калькулятор курса латвийского лата к доллару и рублю   Динамика курса латвийского лата к рублю по месяцам  Конвертер валют,<ПУСТО>,Курс латвийского лата к рублю и доллару на сегодня,Калькулятор курса латвийского лата к доллару и рублюДинамика курса латвийского лата к рублю по месяцам,896,,64,7,2,0,2,0,0,4
3,https://zagrangid.com/kurs-valyut/usd_mga,200,HTTP/2 200,,,text/html, charset=utf-8,108,45 Кб,,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,,,,Курс малагасийского ариари к рублю и доллару на сегодня,55,Калькулятор курса малагасийского ариари к доллару и рублю   Динамика курса малагасийского ариари к рублю по месяцам,<ПУСТО>,Курс малагасийского ариари к рублю и доллару на сегодня,Калькулятор курса малагасийского ариари к доллару и рублюДинамика курса малагасийского ариари к рублю по месяцам,898,,64,7,2,500,2,500,0,5
4,https://zagrangid.com/kurs-valyut/usd_cdf,200,HTTP/2 200,,,text/html, charset=utf-8,108,34 Кб,,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,,,,Курс конголезского франка к рублю и доллару на сегодня,54,Калькулятор курса конголезского франка к доллару и рублю   Динамика курса конголезского франка к рублю по месяцам,<ПУСТО>,Курс конголезского франка к рублю и доллару на сегодня,Калькулятор курса конголезского франка к доллару и рублюДинамика курса конголезского франка к рублю по месяцам,897,,64,7,2,400,2,500,0,6
5,https://zagrangid.com/kurs-valyut/usd_kes,200,HTTP/2 200,,,text/html, charset=utf-8,108,38 Кб,,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,,,,Курс кенийского шиллинга к рублю и доллару на сегодня,53,Калькулятор курса кенийского шиллинга к доллару и рублю   Динамика курса кенийского шиллинга к рублю по месяцам  Конвертер,<ПУСТО>,Курс кенийского шиллинга к рублю и доллару на сегодня,Калькулятор курса кенийского шиллинга к доллару и рублюДинамика курса кенийского шиллинга к рублю по месяцам,895,,64,7,2,100,2,100,0,5
6,https://zagrangid.com/kurs-valyut/usd_mru,200,HTTP/2 200,,,text/html, charset=utf-8,107,88 Кб,,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,,,,Курс мавританской угии к рублю и доллару на сегодня,51,Калькулятор курса мавританской угии к доллару и рублю   Динамика курса мавританской угии к рублю по месяцам  Конвертер,<ПУСТО>,Курс мавританской угии к рублю и доллару на сегодня,Калькулятор курса мавританской угии к доллару и рублюДинамика курса мавританской угии к рублю по месяцам,870,,64,7,1,800,1,900,0,5
7,https://zagrangid.com/kurs-valyut/usd_ggp,200,HTTP/2 200,,,text/html, charset=utf-8,107,93 Кб,,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,,,,Курс гернсийского фунта к рублю и доллару на сегодня,52,Калькулятор курса гернсийского фунта к доллару и рублю   Динамика курса гернсийского фунта к рублю по месяцам  Конвертер,<ПУСТО>,Курс гернсийского фунта к рублю и доллару на сегодня,Калькулятор курса гернсийского фунта к доллару и рублюДинамика курса гернсийского фунта к рублю по месяцам,870,,64,7,1,500,1,600,0,4
8,https://zagrangid.com/kurs-valyut/usd_pkr,200,HTTP/2 200,,,text/html, charset=utf-8,108,34 Кб,,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,,,,Курс пакистанской рупии к рублю и доллару на сегодня,52,Калькулятор курса пакистанской рупии к доллару и рублю   Динамика курса пакистанской рупии к рублю по месяцам  Конвертер,<ПУСТО>,Курс пакистанской рупии к рублю и доллару на сегодня,Калькулятор курса пакистанской рупии к доллару и рублюДинамика курса пакистанской рупии к рублю по месяцам,895,,64,7,1,300,1,300,0,5
9,https://zagrangid.com/kurs-valyut/usd_sgd,200,HTTP/2 200,,,text/html, charset=utf-8,108,51 Кб,,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,,,,Курс сингапурского доллара к рублю и доллару на сегодня,55,Калькулятор курса сингапурского доллара к доллару и рублю   Динамика курса сингапурского доллара к рублю по месяцам,<ПУСТО>,Курс сингапурского доллара к рублю и доллару на сегодня,Калькулятор курса сингапурского доллара к доллару и рублюДинамика курса сингапурского доллара к рублю по месяцам,896,,64,7,1,400,1,400,0,5
10,https://zagrangid.com/kurs-valyut/usd_sdg,200,HTTP/2 200,,,text/html, charset=utf-8,108,15 Кб,,index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1,,,,Курс суданского фунта к рублю и доллару на сегодня,50,Калькулятор курса суданского фунта к доллару и рублю   Динамика курса суданского фунта к рублю по месяцам  Конвертер валют,<ПУСТО>,Курс суданского фунта к рублю и доллару на сегодня,Калькулятор курса суданского фунта к доллару и рублюДинамика курса суданского фунта к рублю по месяцам,895,,64,7,1,200,1,200,0,5
